fd,convention,method,stage,ecr_finite_only,unbounded_rate,n_inf,n_total
FD004,TrainPct,MC-Dropout,early,0.9040977141929769,0.0,0,25908
FD004,TrainPct,MC-Dropout,middle,0.924490235537498,0.0,0,4812
FD004,TrainPct,MC-Dropout,late,0.9616236187322584,0.0,0,3410
FD004,TrainPct,Split CP,early,0.8766804779405557,0.0,0,25908
FD004,TrainPct,Split CP,middle,0.9080577554719034,0.0,0,4812
FD004,TrainPct,Split CP,late,0.9518416386523195,0.0,0,3410
FD004,TrainPct,Mondrian CP (online),early,0.8003701772223348,0.0,0,25908
FD004,TrainPct,Mondrian CP (online),middle,0.8921271272100799,0.00041562759767248546,2,4812
FD004,TrainPct,Mondrian CP (online),late,0.9482641765237353,0.0,0,3410
FD004,TrainPct,Mondrian CP (split),early,0.8515119379468734,0.0,0,25908
FD004,TrainPct,Mondrian CP (split),middle,0.920649261572593,0.0,0,4812
FD004,TrainPct,Mondrian CP (split),late,0.9621957276392592,0.0,0,3410
FD004,Matched,MC-Dropout,early,0.9915792339471562,0.0,0,4618
FD004,Matched,MC-Dropout,middle,0.9593301199903959,0.0,0,4791
FD004,Matched,MC-Dropout,late,0.8695683663154827,0.0,0,24721
FD004,Matched,Split CP,early,0.985703037228963,0.0,0,4618
FD004,Matched,Split CP,middle,0.9442681448071351,0.0,0,4791
FD004,Matched,Split CP,late,0.8342141177873973,0.0,0,24721
FD004,Matched,Mondrian CP (online),early,0.8295324273099356,0.0,0,4618
FD004,Matched,Mondrian CP (online),middle,0.8512808912594251,0.0,0,4791
FD004,Matched,Mondrian CP (online),late,0.7967990481058821,8.090287609724525e-05,2,24721
FD004,Matched,Mondrian CP (split),early,0.8490570242509922,0.0,0,4618
FD004,Matched,Mondrian CP (split),middle,0.8711998813600784,0.0,0,4791
FD004,Matched,Mondrian CP (split),late,0.8454396443590898,0.0,0,24721
