fd,seed,unit,bin,median_abs_s,n
FD001,4,88,3,0.5625764069206115,19
FD001,4,88,4,1.1145519772976633,18
FD001,4,88,5,0.48987135043855146,18
FD001,4,88,6,0.5618508550537809,19
FD001,4,88,7,0.5248740145776603,18
FD001,4,88,8,0.28597939773669384,18
FD001,4,88,9,0.38549855122320514,19
FD001,4,2,0,0.10958799247750788,25
FD001,4,2,1,0.1106505592095767,26
FD001,4,2,2,0.1836899732949706,26
FD001,4,2,3,0.3233339469886277,25
FD001,4,2,4,0.800476831729064,26
FD001,4,2,5,0.9764810832919374,26
FD001,4,2,6,0.7207080309640728,25
FD001,4,2,7,0.5565286164587574,26
FD001,4,2,8,0.7330909692036383,26
FD001,4,2,9,0.4982243430844079,26
FD001,4,70,0,1.4018026836225375,10
FD001,4,70,1,1.849147273718793,11
FD001,4,70,2,1.515981658107001,11
FD001,4,70,3,1.664702642962988,10
FD001,4,70,4,1.228354356087405,11
FD001,4,70,5,2.0648564638392735,11
FD001,4,70,6,0.7051320928841178,10
FD001,4,70,7,0.6000998377098405,11
FD001,4,70,8,0.955063042516014,11
FD001,4,70,9,0.7070792987541191,11
FD001,4,56,0,0.4545687340267817,24
FD001,4,56,1,0.7640135409251552,24
FD001,4,56,2,0.9042963261288909,25
FD001,4,56,3,1.0336126115495037,24
FD001,4,56,4,1.0709061760928509,25
FD001,4,56,5,1.6039751062666907,25
FD001,4,56,6,1.3572254450730494,24
FD001,4,56,7,0.8418709044933779,24
FD001,4,56,8,1.8125063667882064,25
FD001,4,56,9,1.161612213561981,25
FD001,4,47,0,0.28157230800958893,18
FD001,4,47,1,0.45028275832536646,18
FD001,4,47,2,0.5137010906465104,19
FD001,4,47,3,0.5583658727906575,18
FD001,4,47,4,0.7125613804770068,18
FD001,4,47,5,0.2142557757034503,19
FD001,4,47,6,0.7119497079743855,18
FD001,4,47,7,0.9262717626775814,19
FD001,4,47,8,0.7751702271567196,18
FD001,4,47,9,1.0744233655069977,19
FD002,0,82,0,1.4212514675594878,16
FD002,0,82,1,1.3335560350321354,17
FD002,0,82,2,2.0353958376604275,18
FD002,0,82,3,1.5328299980451194,16
FD002,0,82,4,0.6394175989795567,17
FD002,0,82,5,2.13088583730905,18
FD002,0,82,6,1.2061967058044392,17
FD002,0,82,7,0.6768371101689663,16
FD002,0,82,8,0.7677586993403657,17
FD002,0,82,9,0.6396381862799879,18
FD002,0,244,0,3.286017535853541,9
FD002,0,244,1,1.5963241897135108,10
FD002,0,244,2,0.44281505643660524,10
FD002,0,244,3,1.8496220483376082,10
FD002,0,244,4,2.46769218115499,9
FD002,0,244,5,2.2628057872600955,10
FD002,0,244,6,1.1902277601156361,10
FD002,0,244,7,1.1936682229858024,10
FD002,0,244,8,0.9279124302402386,10
FD002,0,244,9,0.9643297901112124,10
FD002,0,175,0,0.4893570707221413,17
FD002,0,175,1,0.26836805775513606,17
FD002,0,175,2,0.30499451721266324,17
FD002,0,175,3,0.44228571767302943,17
FD002,0,175,4,0.6025313712008554,17
FD002,0,175,5,1.7557143485511868,18
FD002,0,175,6,0.5858610952685437,17
FD002,0,175,7,0.5992825385359479,17
FD002,0,175,8,0.8109638186671296,17
FD002,0,175,9,0.28274467376239315,18
FD002,0,247,0,0.6802133973242581,16
FD002,0,247,1,0.570760127243123,17
FD002,0,247,2,1.2472686239243824,17
FD002,0,247,3,0.5013654971764011,16
FD002,0,247,4,0.5824539298134854,17
FD002,0,247,5,0.16570988198794934,17
FD002,0,247,6,0.20009442958419177,16
FD002,0,247,7,0.6409144645335394,17
FD002,0,247,8,0.4992083048969188,17
FD002,0,247,9,0.26537520960976196,17
FD002,0,40,0,0.7165575980329264,16
FD002,0,40,1,1.0190695313273177,16
FD002,0,40,2,0.9106278598293163,16
FD002,0,40,3,1.5066142158369764,17
FD002,0,40,4,0.5109125146126325,16
FD002,0,40,5,1.108942386434967,16
FD002,0,40,6,0.4487614307564285,17
FD002,0,40,7,1.2478270903675996,16
FD002,0,40,8,1.0016339409180488,16
FD002,0,40,9,0.11199060182325152,17
FD002,0,231,0,0.49473252236519716,11
FD002,0,231,1,1.5173401215377873,11
FD002,0,231,2,1.3159576206107633,12
FD002,0,231,3,1.6168711640385822,11
FD002,0,231,4,1.0746656344569177,11
FD002,0,231,5,2.2006593459975705,12
FD002,0,231,6,1.6474662891041667,11
FD002,0,231,7,1.088784057072667,12
FD002,0,231,8,0.7828196275950196,11
FD002,0,231,9,0.3010196384841025,12
FD002,0,194,0,0.13936642486651601,11
FD002,0,194,1,0.3630854017450852,12
FD002,0,194,2,0.8724950182462404,12
FD002,0,194,3,2.1307704771832245,12
FD002,0,194,4,2.6114456557110346,11
FD002,0,194,5,1.8597347492088872,12
FD002,0,194,6,1.1802311094545688,12
FD002,0,194,7,1.0006695335984808,12
FD002,0,194,8,0.6510203109272006,12
FD002,0,194,9,0.4616763093205129,12
FD002,0,59,0,1.1055894524706125,16
